jed,vrsta,cas priprave [min],zahtevnost,kolicina,st. porcij,avtor,datum,leto
Divjačinski zrezki v omaki,divjačina,180,4,4-5 oseb,5,anagorse,14.12.2017,2017
Gratinirana pasta s puranom in gorgonzolo,perutnina,45,1,1,1,AlexStarsky,8.11.2017,2017
Puranja rulada (šunka in sir),perutnina,45,1,,,AlexStarsky,4.11.2017,2017
Mehiška tortilja,govedina,30,2,za 3 porcije,3,Schär,20.10.2017,2017
Piščančja rižota s korenjem,perutnina,45,2,za eno osebo,1,baterija,31.8.2017,2017
Telečja krača v pečici,teletina,180,3,,,tinka40,28.8.2017,2017
Piščančji ražnjiči,perutnina,60,3,,,tinka40,12.8.2017,2017
Virgol'c,sesekljano meso,45,2,~ 4 osebe,4,gligor,24.7.2017,2017
Bučno - piščančje roladice,svinjina,45,2,Za 4 jedce,4,Vrtejbenka,14.7.2017,2017
Arančini - riževe kroglice Montalbano,sesekljano meso,90,3,za štiri osebe,,mamamia,10.7.2017,2017
Počasi pečene krače divjega prašiča z njoki,divjačina,240,3,za 4 osebe,4,Hofer Slovenija,2.6.2017,2017
Juha s kislim zeljem in nürnberškimi pečenicami,svinjina,60,3,za 4 osebe,4,Hofer Slovenija,2.6.2017,2017
Piščanec po kmečko,perutnina,60,2,4 osebe,4,anamarija1,6.12.2014,2014
Svinjski medaljončki v ovoju slanine s skutno-smetanovo omako,svinjina,60,2,za 4 osebe,4,Ančikaa,27.11.2014,2014
Moja mega raca,perutnina,150,3,4 OSEBE,4,sportdelta,26.11.2014,2014
File v ovoju s slanino ,perutnina,75,2,4,4,Trixi,21.11.2014,2014
Pečene krače divjega prašiča ,divjačina,240,3,,,Mandi_doo,17.11.2014,2014
Slana rulada - piramida,sesekljano meso,120,2,,,SMARTY1,17.11.2014,2014
Leni burek,sesekljano meso,60,2,3-4-osebe,4,SMARTY1,17.11.2014,2014
Sogan dolma,sesekljano meso,60,2,4 osebe,4,SMARTY1,11.11.2014,2014
Moj Esich Fleisch,govedina,15,1,,,pilatus,28.10.2014,2014
Mesne kroglice v bešamelu - đulbastije,sesekljano meso,60,2,4-6 oseb,5,SMARTY1,16.10.2014,2014
Jesenski navihančki,perutnina,60,3,,,November_Moon,15.10.2014,2014
Svinjska ribica z jabolčno - parmezanovo sredico,svinjina,45,1,4 osebe,4,anamarija1,8.10.2014,2014
Piščančji zvitki,perutnina,,4,,,tanka,4.4.2006,2006
Kaneloni z mletim mesom in ječmenovo kašo,mešano meso,,2,za 6 oseb,6,riba-ribica,2.4.2006,2006
Mesne rulade,govedina,,2,,,shumnick,1.4.2006,2006
Frikadele,sesekljano meso,,1,,,shumnick,1.4.2006,2006
Prepečen piščanec,perutnina,90,3,6 oseb,6,Blanchy,19.3.2006,2006
Govedina s papriko in njoki,govedina,,2,2 in 1/2 osebe,,barbara R.,18.3.2006,2006
Pečenka s krompirjem,ostalo,,2,za 6 oseb,6,nola,15.3.2006,2006
Polnjene puranje prsi v kruhovem testu,perutnina,,3,,,PetraP,1.3.2006,2006
Zrezki v česnovi omaki,govedina,60,2,5 oseb,5,anamarija1,26.2.2006,2006
Piščančja rižota z veliko zelenjave,perutnina,45,1,2,2,piščanec,24.2.2006,2006
Patata con polo,perutnina,,3,2,2,jasmina22,24.2.2006,2006
Goveji zrezki v omaki,govedina,,2,za 2 osebi,2,sarabande,23.2.2006,2006
Pita ostankarica,mešano meso,,2,,,anja,20.2.2006,2006
Kroglice s puranjim mesom in mozzarelo,perutnina,,3,,,edokatja,19.2.2006,2006
"""Ta hitri"" kotleti",svinjina,,1,4 osebe,4,karmen4,16.2.2006,2006
Zrezki z ananasom,teletina,,3,4,4,Trixi,15.2.2006,2006
Pizza za sladokusce,svinjina,,3,Količina za 8 oseb,8,Bagio,10.2.2006,2006
"Suhe, rdeče polnjene paprike",sesekljano meso,,3,,,escada,8.2.2006,2006
Pirjan,ostalo,90,2,5 oseb,5,Julya,8.2.2006,2006
Hitri zrezki,teletina,15,1,4 osebe,4,anamarija1,7.2.2006,2006
Svinjska pečenka po moje,svinjina,120,2,6 oseb,6,anamarija1,6.2.2006,2006
Svinjski zrezki v sirovi omaki,svinjina,,2,2 osebi,2,barbara R.,5.2.2006,2006
Puranji golaž z zelenjavo,perutnina,45,3,za 3 do 4 osebe,4,tjas,4.2.2006,2006
Vampi,govedina,,2,,,petra79,3.2.2006,2006
Jetrca s slanino,notranji deli,,1,,,anja,1.2.2006,2006
Zeljna zloženka s sirom,sesekljano meso,120,2,2-3,3,piščanec,31.1.2006,2006
Piščančja prsa v kisli ingverjevi omaki s fižolom,perutnina,,2,za 4 osebe,4,sarabande,28.1.2006,2006
Piščančji zrezki s papriko,perutnina,15,1,2,2,piščanec,27.1.2006,2006
Telečja krača,govedina,,1,4,4,vukovicpeter,26.1.2006,2006
Zarebrnice s hruškami in gorgonzolo,svinjina,,3,4 osebe,4,mansaj,23.1.2006,2006
Svinjske rolade s figami,svinjina,,3,,,anja,18.1.2006,2006
Mavžlji z mohantom,sesekljano meso,,3,za 4 osebe,4,pavka,17.1.2006,2006
Ledvice v kisli smetani,notranji deli,,3,4 osebe,4,Marinka,16.1.2006,2006
Rebra z bučo hokaido,svinjina,45,2,za 2 osebi,2,ligojna,13.1.2006,2006
Goveji zrezki s slivami,govedina,,2,4,4,miia,12.1.2006,2006
Tatarski biftek,ostalo,,1,8,8,linana,9.1.2006,2006
Matsumoto,mešano meso,,2,za 6 ali več oseb,,tracylords20,1.1.2006,2006
Pečenka v srajčki,svinjina,,3,,,miia,31.12.2005,2005
Piščančja prsa v curryjevi omaki,perutnina,,2,za 4 osebe,4,sarabande,28.12.2005,2005
Hlebčki iz mletega mesa,sesekljano meso,,2,,,galja,27.12.2005,2005
Svinjski zrezki po Petrovo,svinjina,,1,2,2,vukovicpeter,25.12.2005,2005
Mesna rolada,mešano meso,,3,za 4 osebe,4,tracylords20,22.12.2005,2005
Jezik v pikantni omaki a la Tanja,govedina,,3,,,Riko,19.12.2005,2005
Dušena govedina z zelenjavo,govedina,60,2,5 oseb,5,Julya,17.12.2005,2005
Podvarak,ostalo,75,2,,,DUŠANKA,15.12.2005,2005
Čebulni zrezki,svinjina,,2,za 4 osebe,4,urbi.tina,14.12.2005,2005
Piščančja stegna po provansalsko,perutnina,,2,za 4 osebe,4,sarabande,13.12.2005,2005
Divji zrezki,govedina,,2,,,Onka,9.12.2005,2005
Pečeno jagnječje stegno,drobnica,,3,za 4 osebe,4,sarabande,7.12.2005,2005
"""Raztresene"" paprike",mešano meso,,2,,,escada,4.12.2005,2005
Mesni Bocconcini,svinjina,,2,,,vesnamat,3.12.2005,2005
Piščanec v limonini omaki,perutnina,,2,za 2 osebi,2,eny,2.12.2005,2005
Nadevan piščanec,perutnina,120,2,4 osebe,4,anamarija1,25.11.2005,2005
Sataraš z mesom,mešano meso,75,1,,,maji,21.11.2005,2005
Piščančji paprikaš s korenčkom,perutnina,60,2,Za 4 osebe,4,Marjetka cvetka,20.11.2005,2005
Svinjska ribica po homško,svinjina,,2,za 2 osebi,2,malan,17.11.2005,2005
Mesni polpeti,mešano meso,,1,za 8 polpetov,,klavdija mustar,16.11.2005,2005
Pišče v omaki,perutnina,,2,za 4 osebe,4,KristinaG,12.11.2005,2005
Mesni burek,govedina,,2,,,ema,9.11.2005,2005
Lepinja s pleskavico,sesekljano meso,,1,,,pia4,4.11.2005,2005
Chilli con carne,sesekljano meso,,2,4-6,5,julia,30.10.2005,2005
Goveji ptički,govedina,75,2,4 osebe,4,anamarija1,26.10.2005,2005
Puranji zrezki na krožniku,perutnina,,1,,,kocka,24.10.2005,2005
Mežerli,koline,,2,4 osebe,4,potepinka,18.10.2005,2005
Vampi po moje,drobnica,90,1,8 oseb,8,anamarija1,15.10.2005,2005
Boeuf Stroganoff,govedina,,2,,,Riko,13.10.2005,2005
Golaž brez moke,ostalo,,2,,,sunflower@,11.10.2005,2005
Karadjordjev zrezek,teletina,,2,za 4 osebe,4,sarabande,11.10.2005,2005
